x0,y0,z0,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28
0.5275972485542297,0.2013044506311416,-0.2397646456956863,0.5742776393890381,0.2983617782592773,-0.0591107606887817,0.4884750545024872,0.3017866611480713,-0.0665092766284942,0.585093080997467,0.409085214138031,-0.03471190482378,0.4765394628047943,0.4137945473194122,-0.0341518968343734,0.5868509411811829,0.5112389326095581,-0.1551819890737533,0.4724799990653991,0.5123147964477539,-0.1161648258566856,0.5341897010803223,-0.1300127208232879,0.5536485910415649,0.52605140209198,0.0099179642274975,0.5030985474586487,0.525336742401123,-0.0099886916577816,0.5574809312820435,0.6945343017578125,0.0239935349673032,0.5013105869293213,0.6920181512832642,-0.0072590713389217,0.5598328113555908,0.8404406309127808,0.1647352427244186,0.4915184676647186
0.5271975994110107,0.2013201415538787,-0.2406836599111557,0.5736759901046753,0.2977527379989624,-0.0591920837759971,0.4879382252693176,0.3016737997531891,-0.0683284029364585,0.5839130878448486,0.4087648391723633,-0.0297089647501707,0.4763603210449219,0.4137647151947021,-0.0353324897587299,0.5851185321807861,0.5114243030548096,-0.1474267691373825,0.4722767472267151,0.5122063159942627,-0.1192607507109642,0.5342037081718445,-0.1331131905317306,0.5535982251167297,0.5259543061256409,0.0100676175206899,0.503033459186554,0.5252324342727661,-0.0101383328437805,0.5574792623519897,0.6944127678871155,0.0246436893939971,0.5013163089752197,0.6920239329338074,-0.0089356144890189,0.5597711205482483,0.8399691581726074,0.176728218793869,0.4915823340415954
0.5267537236213684,0.2013122737407684,-0.2416430562734604,0.5728282332420349,0.2970819771289825,-0.0538152046501636,0.4874798953533172,0.3016188442707062,-0.068787433207035,0.5827628374099731,0.4071822464466095,-0.0174117870628833,0.4762475788593292,0.4137544333934784,-0.035719946026802,0.5832942128181458,0.5108909010887146,-0.1320188343524933,0.4722741842269897,0.512212872505188,-0.1205006390810012,0.5344956517219543,-0.134321928024292,0.5533177852630615,0.5259107947349548,0.0108830202370882,0.5027555227279663,0.525233805179596,-0.0109584890305995,0.5569762587547302,0.694422721862793,0.0285046380013227,0.5013682246208191,0.6923339366912842,-0.0105504216626286,0.5597703456878662,0.8399398922920227,0.1853108406066894,0.4915715754032135
0.5265212059020996,0.2013009041547775,-0.2326630502939224,0.5724372863769531,0.2967703938484192,-0.0433476492762565,0.4872681796550751,0.3014934957027435,-0.0645133703947067,0.5821909308433533,0.4069826900959015,-0.0094741489738225,0.4761012494564056,0.4137507379055023,-0.0339784659445285,0.5816012024879456,0.5107945799827576,-0.1245768070220947,0.4723119735717773,0.5121855735778809,-0.119782842695713,0.5346261858940125,-0.1334304958581924,0.5528191328048706,0.525902509689331,0.0119096580892801,0.502393364906311,0.52522873878479,-0.0119862565770745,0.5567666292190552,0.6944960951805115,0.0267973951995372,0.5014155507087708,0.6924468874931335,-0.0107782622799277,0.5598471164703369,0.8401810526847839,0.1822720170021057,0.4916206002235412
0.5263451337814331,0.2013132721185684,-0.2270135581493377,0.5722376704216003,0.2964631021022796,-0.0377024263143539,0.4870904386043548,0.3015004098415375,-0.0578474402427673,0.5818507075309753,0.4064415693283081,-0.0068821744062006,0.4759744703769684,0.4138541519641876,-0.0285828839987516,0.580644428730011,0.510694146156311,-0.1243155226111412,0.4723785519599914,0.5121660828590393,-0.1168729215860366,0.5346894860267639,-0.1304991245269775,0.5522475838661194,0.5258980393409729,0.0122038247063755,0.5019447207450867,0.5251952409744263,-0.0122785158455371,0.5565354824066162,0.6946861147880554,0.0211163703352212,0.5014156699180603,0.6925911903381348,-0.0115063581615686,0.559881329536438,0.8406761288642883,0.1739310175180435,0.4916300475597381
0.525994062423706,0.2013137191534042,-0.2264615446329116,0.5719784498214722,0.2961913645267486,-0.0385928489267826,0.4868674278259277,0.3015369772911072,-0.0568660572171211,0.5814883708953857,0.4060981273651123,-0.0136589435860514,0.4759370684623718,0.4142904877662658,-0.0281829927116632,0.5800444483757019,0.5104853510856628,-0.1347308456897735,0.4725418984889984,0.5122576951980591,-0.1169535741209983,0.5349937081336975,-0.1304448097944259,0.551966667175293,0.5257970690727234,0.0123202363029122,0.5016348958015442,0.5250190496444702,-0.0123950513079762,0.5561785101890564,0.6947251558303833,0.0205163732171058,0.5014175176620483,0.6927430629730225,-0.011392880231142,0.5598786473274231,0.8407793641090393,0.173214390873909,0.4916315972805023
0.5255167484283447,0.201243907213211,-0.2250279635190963,0.5718526840209961,0.2959502339363098,-0.0371418520808219,0.4866975843906402,0.3015446364879608,-0.0560302846133708,0.5812121629714966,0.4058511257171631,-0.0128506934270262,0.4759572744369507,0.4143934845924377,-0.0274015441536903,0.5796266198158264,0.5102134346961975,-0.1364214271306991,0.4726491570472717,0.5122650861740112,-0.1162108555436134,0.5350093245506287,-0.1297667324542999,0.5516895055770874,0.5256820917129517,0.01255445741117,0.5013834834098816,0.5247930288314819,-0.0126292370259761,0.5558717250823975,0.6947264671325684,0.0202032811939716,0.501426100730896,0.6927469372749329,-0.0117279039695858,0.5598534941673279,0.8408384323120117,0.1733605116605758,0.4916305840015411
0.5251706838607788,0.2012311667203903,-0.2246382385492324,0.5717421770095825,0.2957400977611542,-0.0370851345360279,0.4864992499351501,0.3015784621238708,-0.0558564327657222,0.58115154504776,0.4056618213653564,-0.0155999092385172,0.4759894013404846,0.4150920212268829,-0.0277703180909156,0.5793761014938354,0.5100447535514832,-0.1437353789806366,0.4727359712123871,0.5123900771141052,-0.1169066429138183,0.535113513469696,-0.1304802745580673,0.5514158606529236,0.5256550908088684,0.0128705753013491,0.5012704133987427,0.5247514843940735,-0.01294647436589,0.555381178855896,0.6947326064109802,0.0197706799954175,0.5014216303825378,0.6928359270095825,-0.0118622435256838,0.5598260164260864,0.8408380746841431,0.1743439733982086,0.4916324019432068
0.5247942209243774,0.2011933773756027,-0.2209071516990661,0.5715415477752686,0.2955538928508758,-0.0362472161650657,0.4863791167736053,0.3016959726810455,-0.0535080656409263,0.5810906887054443,0.4054805934429168,-0.0148592805489897,0.4759905636310577,0.4162211716175079,-0.0266458727419376,0.5795393586158752,0.5100367069244385,-0.1401247829198837,0.4730488359928131,0.5128324627876282,-0.1159574836492538,0.5355174541473389,-0.1293694078922271,0.5512053370475769,0.5256122350692749,0.0127982860431075,0.5011923909187317,0.5247060060501099,-0.0128720598295331,0.5550410747528076,0.694733202457428,0.0173082575201988,0.5013563632965088,0.6928396821022034,-0.0120191145688295,0.5598211884498596,0.8408672213554382,0.1649800688028335,0.4916299879550934
0.5245859622955322,0.2011914700269699,-0.2235828191041946,0.5713873505592346,0.2954815030097961,-0.0380456559360027,0.486217588186264,0.3019062578678131,-0.0549817644059658,0.5810475945472717,0.4054156541824341,-0.0160662997514009,0.475987434387207,0.4172512888908386,-0.0274838544428348,0.579662024974823,0.5101510286331177,-0.1411606520414352,0.4735461473464966,0.5134122371673584,-0.1176480501890182,0.5362772941589355,-0.130830705165863,0.551038920879364,0.5256063938140869,0.0127793001011013,0.5010505318641663,0.5246914625167847,-0.012851589359343,0.554673969745636,0.6947412490844727,0.0176376141607761,0.5011710524559021,0.6928421854972839,-0.011246264912188,0.5598200559616089,0.8408677577972412,0.1658465713262558,0.4916447103023529
